 vacuumPipe1 | G4Tubs | 0*mm, 34.925*mm, 812.695*mm, 0*deg, 360*deg | G4_STAINLESS-STEEL | root | 0*mm, 0*mm, 1600.105*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaffff | na | na | na | na | na | na | 1 | first straightVacuumPipe steel |
 vacuumInPipe1 | G4Tubs | 0*mm, 33.275*mm, 812.695*mm, 0*deg, 360*deg | G4_Galactic | vacuumPipe1 | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 000000 | na | na | na | na | na | na | 1 | first straightVacuumPipe vacuum inside |
 vacuumPipe2 | G4Tubs | 0*mm, 34.925*mm, 132.23500000000004*mm, 0*deg, 360*deg | G4_STAINLESS-STEEL | root | 0*mm, 0*mm, 2621.735*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaffff | na | na | na | na | na | na | 1 | second straightVacuumPipe steel |
 vacuumInPipe2 | G4Tubs | 0*mm, 33.275*mm, 132.23500000000004*mm, 0*deg, 360*deg | G4_Galactic | vacuumPipe2 | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 000000 | na | na | na | na | na | na | 1 | second straightVacuumPipe vacuum inside |
 vacuumPipe3 | G4Tubs | 33.275*mm, 34.925*mm, 38.15*mm, 0*deg, 360*deg | G4_STAINLESS-STEEL | root | 0*mm, 0*mm, 2451.15*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaffff | na | na | na | na | na | na | 1 | third straightVacuumPipe steel |
 vacuumInPipe3 | G4Tubs | 0*mm, 33.275*mm, 38.15*mm, 0*deg, 360*deg | G4_Galactic | root | 0*mm, 0*mm, 2451.15*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 000000 | na | na | na | na | na | na | 1 | third straightVacuumPipe vacuum inside |
 vacuumPipe | G4Polycone | 0*deg, 360*deg, 4,  2754.17*mm, 5016*mm, 5064*mm, 5732*mm, 0*mm, 0*mm, 0*mm, 0*mm, 34.925*mm, 34.925*mm, 63.5*mm, 63.5*mm | G4_STAINLESS-STEEL | fc | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaffff | na | na | na | na | na | na | 1 | vacuumPipe steel |
 vacuumInPipe | G4Polycone | 0*deg, 360*deg, 4,  2754.17*mm, 5016*mm, 5064*mm, 5732*mm, 0*mm, 0*mm, 0*mm, 0*mm, 33.274*mm, 33.274*mm, 60.325*mm, 60.325*mm | G4_Galactic | vacuumPipe | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 000000 | na | na | na | na | na | na | 1 | vacuumPipe vacuum |
 vacuumPipeToAlcove | G4Tubs | 0*mm, 68*mm, 1829.4*mm, 0*deg, 360*deg | G4_STAINLESS-STEEL | fc | 0*mm, 0*mm, 7570.4*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaffff | na | na | na | na | na | na | 1 | vacuumPipeToAlcove steel |
 vacuumInPipeToAlcove | G4Tubs | 0*mm, 64*mm, 1829.4*mm, 0*deg, 360*deg | G4_Galactic | vacuumPipeToAlcove | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 000000 | na | na | na | na | na | na | 1 | vacuumPipeToAlcove vacuum inside |
 leadInsideApex | G4Tubs | 140*mm, 190*mm, 1000*mm, 0*deg, 360*deg | G4_Pb | fc | 0*mm, 0*mm, 6372*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 4499ff | na | na | na | na | na | na | 1 | lead inside apex |
