vacuumPipe1_1 | hdIce_mother | G4Tubs | 0*mm, 34.925*mm, 72.5*mm, 0*deg, 360*deg | G4_STAINLESS-STEEL | 0*mm, 0*mm, 727.5*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaffff | na | na | na | na | na | na | 1 | first straightVacuumPipe 2.75 inch OD 0.065 thick  |
vacuumInPipe1_1 | vacuumPipe1_1 | G4Tubs | 0*mm, 33.325*mm, 72.5*mm, 0*deg, 360*deg | G4_Galactic | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 000000 | na | na | na | na | na | na | 1 | first straightVacuumPipe vacuum inside |
vacuumPipe1_2 | root | G4Tubs | 0*mm, 34.925*mm, 728.4*mm, 0*deg, 360*deg | G4_STAINLESS-STEEL | 0*mm, 0*mm, 1528.4*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaffff | na | na | na | na | na | na | 1 | second straightVacuumPipe steel |
vacuumInPipe1_2 | vacuumPipe1_2 | G4Tubs | 0*mm, 33.325*mm, 728.4*mm, 0*deg, 360*deg | G4_Galactic | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 000000 | na | na | na | na | na | na | 1 | second straightVacuumPipe vacuum inside |
vacuumPipe2 | root | G4Tubs | 0*mm, 34.925*mm, 132.235*mm, 0*deg, 360*deg | G4_STAINLESS-STEEL | 0*mm, 0*mm, 2621.735*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaffff | na | na | na | na | na | na | 1 | vacuumPipe2 straightVacuumPipe steel |
vacuumInPipe2 | vacuumPipe2 | G4Tubs | 0*mm, 33.275*mm, 132.235*mm, 0*deg, 360*deg | G4_Galactic | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 000000 | na | na | na | na | na | na | 1 | vacuumPipe2 straightVacuumPipe vacuum inside |
vacuumPipe3 | root | G4Tubs | 33.375*mm, 34.925*mm, 38.15*mm, 0*deg, 360*deg | G4_STAINLESS-STEEL | 0*mm, 0*mm, 2451.15*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaffff | na | na | na | na | na | na | 1 | vacuumPipe3 straightVacuumPipe steel |
vacuumInPipe3 | root | G4Tubs | 0*mm, 33.375*mm, 38.15*mm, 0*deg, 360*deg | G4_Galactic | 0*mm, 0*mm, 2451.15*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 000000 | na | na | na | na | na | na | 1 | vacuumPipe3 straightVacuumPipe vacuum inside |
vacuumPipe | fc | G4Polycone | 0*deg, 360*deg, 4,  2754.17*mm, 5016*mm, 5064*mm, 5732*mm, 0*mm, 0*mm, 0*mm, 0*mm, 34.925*mm, 34.925*mm, 63.5*mm, 63.5*mm | G4_STAINLESS-STEEL | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaffff | na | na | na | na | na | na | 1 | vacuumPipe steel |
vacuumInPipe | vacuumPipe | G4Polycone | 0*deg, 360*deg, 4,  2754.17*mm, 5016*mm, 5064*mm, 5732*mm, 0*mm, 0*mm, 0*mm, 0*mm, 33.274*mm, 33.274*mm, 60.325*mm, 60.325*mm | G4_Galactic | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 000000 | na | na | na | na | na | na | 1 | vacuumPipe vacuum |
vacuumPipeToAlcove | fc | G4Tubs | 0*mm, 68*mm, 1829.4*mm, 0*deg, 360*deg | G4_STAINLESS-STEEL | 0*mm, 0*mm, 7570.4*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaffff | na | na | na | na | na | na | 1 | vacuumPipeToAlcove steel |
