 PolTarg | G4Tubs | 0*mm, 44*mm, 130*mm, 0.0*deg, 360.0*deg | G4_Galactic | root | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaaaaa9 | na | na | na | na | na | na | 1 | PolTarg Region |
 LHeVoidFill | G4Tubs | 0*mm, 10*mm, 14.97*mm, 0.0*deg, 360.0*deg | lHeCoolant | PolTarg | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 0000ff | na | na | na | na | na | na | 1 | LHe between target cells |
 NH3Targ | G4Tubs | 0*mm, 10*mm, 9.96*mm, 0.0*deg, 360.0*deg | NH3target | PolTarg | 0*mm, 0*mm, -25*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | f000f0 | na | na | na | na | na | na | 1 | Upstream NH3 target cell |
 NH3Cup | G4Tubs | 10.0001*mm, 10.03*mm, 9.75*mm, 0.0*deg, 360.0*deg | AmmoniaCellWalls | PolTarg | 0*mm, 0*mm, -25*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | ffffff | na | na | na | na | na | na | 1 | Upstream NH3 Target cup |
 NH3CupDSRing | G4Tubs | 10.0001*mm, 11.43*mm, 0.25*mm, 0.0*deg, 360.0*deg | AmmoniaCellWalls | PolTarg | 0*mm, 0*mm, -35*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | ffffff | na | na | na | na | na | na | 1 | Upstream NH3 Target cup downstream ring |
 NH3CupUSRing | G4Tubs | 10.0001*mm, 12.7*mm, 0.25*mm, 0.0*deg, 360.0*deg | AmmoniaCellWalls | PolTarg | 0*mm, 0*mm, -15*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | ffffff | na | na | na | na | na | na | 1 | Upstream NH3 Target cup Upstream ring |
 NH3CupWindowFrame_20 | G4Tubs | 11.44*mm, 12.7*mm, 1.5875*mm, 0.0*deg, 360.0*deg | AmmoniaCellWalls | PolTarg | 0*mm, 0*mm, -35*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | ffffff | na | na | na | na | na | na | 1 | Upstream NH3 Target cup Window frame |
 NH3CupUSWindow_20 | G4Tubs | 0*mm, 10*mm, 0.025*mm, 0.0*deg, 360.0*deg | G4_Al | PolTarg | 0*mm, 0*mm, -35*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaaaaa | na | na | na | na | na | na | 1 | Upstream NH3 Target cup Upstream Window |
 NH3CupDSWindow | G4Tubs | 0*mm, 10*mm, 0.025*mm, 0.0*deg, 360.0*deg | G4_Al | PolTarg | 0*mm, 0*mm, -15*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | aaaaaa | na | na | na | na | na | na | 1 | Upstream NH3 Target cup Downstream Window |
 ND3Targ | G4Tubs | 0*mm, 10*mm, 9.96*mm, 0.0*deg, 360.0*deg | ND3target | PolTarg | 0*mm, 0*mm, 25*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | f000f0 | na | na | na | na | na | na | 1 | Downstream ND3 target cell |
 ND3Cup | G4Tubs | 10.0001*mm, 10.03*mm, 9.75*mm, 0.0*deg, 360.0*deg | AmmoniaCellWalls | PolTarg | 0*mm, 0*mm, 25*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | ffffff | na | na | na | na | na | na | 1 | Downstream ND3 Target cup |
