 ft_cal | G4Polycone | 0*deg, 360*deg, 6,  1847.71*mm, 2098.0*mm, 2237.6*mm, 2249.61*mm, 2249.61*mm, 2269.6*mm, 40.0*mm, 40.0*mm, 40.0*mm, 52.0*mm, 100.0*mm, 100.0*mm, 700.0*mm, 700.0*mm, 238.0*mm, 238.0*mm, 238.0*mm, 238.0*mm | G4_AIR | root | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 0 | 0 | 1437f4 | na | na | na | na | na | na | 1 | Calorimeter Mother Volume |
 ft_calCrystalsMother | G4Polycone | 0*deg, 360*deg, 2,  1887.6999999999998*mm, 2164.0*mm, 51.0*mm, 51.0*mm, 180.5*mm, 180.5*mm | G4_AIR | ft_cal | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 1437f4 | na | na | na | na | na | na | 1 | Calorimeter Crystal Volume |
 ft_cal_cr_motherVolume_h1_v9 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | -160.65*mm, -38.25*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:1, v:9 |
 ft_cal_cr_apd_h1_v9 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | -160.65*mm, -38.25*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:1, v:9 |
 ft_cal_cr_wrap_h1_v9 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h1_v9 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:1, v:9 |
 ft_cal_cr_h1_v9 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h1_v9 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 1, iv: 9 | na | na | na | na | 1 | PbWO4 crystal h:1, v:9 |
 ft_cal_cr_ledHousing_h1_v9 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | ft_peek | ft_cal_cr_wrap_h1_v9 | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led Housing for crystal h:1, v:9 |
 ft_cal_cr_motherVolume_h1_v10 | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | ft_calCrystalsMother | -160.65*mm, -22.950000000000003*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Mother Volume for crystal h:1, v:10 |
 ft_cal_cr_apd_h1_v10 | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | ft_peek | ft_calCrystalsMother | -160.65*mm, -22.950000000000003*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:1, v:10 |
 ft_cal_cr_wrap_h1_v10 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | ft_cal_cr_motherVolume_h1_v10 | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 838EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:1, v:10 |
 ft_cal_cr_h1_v10 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | ft_cal_cr_wrap_h1_v10 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | ih: 1, iv: 10 | na | na | na | na | 1 | PbWO4 crystal h:1, v:10 |
