ft_cal | root | G4Polycone | 0*deg, 360*deg, 6,  1847.71*mm, 2098.0*mm, 2237.6*mm, 2249.61*mm, 2249.61*mm, 2269.6*mm, 40.0*mm, 40.0*mm, 40.0*mm, 52.0*mm, 100.0*mm, 100.0*mm, 700.0*mm, 700.0*mm, 238.0*mm, 238.0*mm, 238.0*mm, 238.0*mm | G4_AIR | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 1437f4 | na | na | na | na | na | na | 1 | Calorimeter Mother Volume |
ft_calCrystalsMother | ft_cal | G4Polycone | 0*deg, 360*deg, 2,  1887.6999999999998*mm, 2164.0*mm, 51.0*mm, 51.0*mm, 180.5*mm, 180.5*mm | G4_AIR | 0*mm, 0*mm, 0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | b437f4 | na | na | na | na | na | na | 1 | Calorimeter Crystal Volume |
crVolume_h1_v9 | ft_calCrystalsMother | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | -160.65*mm, -38.25*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Volume for crystal h:1 v:9 |
crapd_h1_v9 | ft_calCrystalsMother | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | G4_C | -160.65*mm, -38.25*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:1 v:9 |
cr_wrap_h1_v9 | crVolume_h1_v9 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | A31EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:1 v:9 |
cr_h1_v9 | cr_wrap_h1_v9 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | h: 1, v: 9 | na | na | na | na | 1 | PbWO4 crystal h:1 v:9 |
cr_led_h1_v9 | cr_wrap_h1_v9 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | G4_C | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led for crystal h:1 v:9 |
crVolume_h1_v10 | ft_calCrystalsMother | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | -160.65*mm, -22.950000000000003*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Volume for crystal h:1 v:10 |
crapd_h1_v10 | ft_calCrystalsMother | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | G4_C | -160.65*mm, -22.950000000000003*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:1 v:10 |
cr_wrap_h1_v10 | crVolume_h1_v10 | G4Box | 7.565*mm, 7.565*mm, 104.0*mm | G4_MYLAR | 0.0*mm, 0.0*mm, 0.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | A31EDE | na | na | na | na | na | na | 1 | wrapping for crystal h:1 v:10 |
cr_h1_v10 | cr_wrap_h1_v10 | G4Box | 7.5*mm, 7.5*mm, 100.0*mm | G4_PbWO4 | 0.0*mm, 0.0*mm, 4.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 836FFF | ft_cal | h: 1, v: 10 | na | na | na | na | 1 | PbWO4 crystal h:1 v:10 |
cr_led_h1_v10 | cr_wrap_h1_v10 | G4Box | 7.5*mm, 7.5*mm, 4.0*mm | G4_C | 0.0*mm, 0.0*mm, -100.0*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | EEC900 | na | na | na | na | na | na | 1 | Led for crystal h:1 v:10 |
crVolume_h1_v11 | ft_calCrystalsMother | G4Box | 7.65*mm, 7.65*mm, 104.0*mm | G4_AIR | -160.65*mm, -7.65*mm, 1993.8*mm | 0*deg, 0*deg, 0*deg | na | 1 | 0 | 838EDE | na | na | na | na | na | na | 1 | Volume for crystal h:1 v:11 |
crapd_h1_v11 | ft_calCrystalsMother | G4Box | 7.5*mm, 7.5*mm, 3.5*mm | G4_C | -160.65*mm, -7.65*mm, 2102.3*mm | 0*deg, 0*deg, 0*deg | na | 1 | 1 | 99CC66 | na | na | na | na | na | na | 1 | apd for crystal h:1 v:11 |
