ftof_p1a_s1 | fc | G4Trd | 20.15*cm, 200.0*cm, 6.54*cm, 6.54*cm, 178.1374*cm | G4_AIR | 227.9522006*cm, 0.0*cm, 652.1087354*cm | ordered: ordered: zyx, -90.0*deg, 0.0*deg, -115.0*deg | na | 0 | 0 | 000000 | na | na | na | na | na | na | 1 | Forward TOF - Panel 1a - Sector 1 |
panel1a_sector1_paddle_1 | ftof_p1a_s1 | G4Box | 16.15*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -166.6324*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 1, panel: 1, paddle: 1, side: 0 | na | na | na | na | 1 | paddle 1 - Panel 1a - Sector 1 |
panel1a_sector1_paddle_2 | ftof_p1a_s1 | G4Box | 24.05*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -151.484*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 1, panel: 1, paddle: 2, side: 0 | na | na | na | na | 1 | paddle 2 - Panel 1a - Sector 1 |
panel1a_sector1_paddle_3 | ftof_p1a_s1 | G4Box | 32.0*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -136.3356*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 1, panel: 1, paddle: 3, side: 0 | na | na | na | na | 1 | paddle 3 - Panel 1a - Sector 1 |
panel1a_sector1_paddle_4 | ftof_p1a_s1 | G4Box | 39.9*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -121.1872*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 1, panel: 1, paddle: 4, side: 0 | na | na | na | na | 1 | paddle 4 - Panel 1a - Sector 1 |
panel1a_sector1_paddle_5 | ftof_p1a_s1 | G4Box | 47.85*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -106.0388*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 1, panel: 1, paddle: 5, side: 0 | na | na | na | na | 1 | paddle 5 - Panel 1a - Sector 1 |
panel1a_sector1_paddle_6 | ftof_p1a_s1 | G4Box | 53.3*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -90.8904*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 1, panel: 1, paddle: 6, side: 0 | na | na | na | na | 1 | paddle 6 - Panel 1a - Sector 1 |
panel1a_sector1_paddle_7 | ftof_p1a_s1 | G4Box | 61.2*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -75.742*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 1, panel: 1, paddle: 7, side: 0 | na | na | na | na | 1 | paddle 7 - Panel 1a - Sector 1 |
panel1a_sector1_paddle_8 | ftof_p1a_s1 | G4Box | 69.15*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -60.5936*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 1, panel: 1, paddle: 8, side: 0 | na | na | na | na | 1 | paddle 8 - Panel 1a - Sector 1 |
panel1a_sector1_paddle_9 | ftof_p1a_s1 | G4Box | 77.05*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -45.4452*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 1, panel: 1, paddle: 9, side: 0 | na | na | na | na | 1 | paddle 9 - Panel 1a - Sector 1 |
panel1a_sector1_paddle_10 | ftof_p1a_s1 | G4Box | 85.0*cm, 2.54*cm, 7.505*cm | scintillator | 0.0*cm, 0.0*cm, -30.2968*cm | 0.0*deg, 0.0*deg, 0.0*deg | na | 1 | 1 | ff11aa | ftof | sector: 1, panel: 1, paddle: 10, side: 0 | na | na | na | na | 1 | paddle 10 - Panel 1a - Sector 1 |
